inst_id,strategy,mix,total_return_pct,sharpe_like,max_drawdown_pct,trades,fast,fast__sma_cross,high,high__rsi_reversion,leverage,leverage__breakout,leverage__roc_momentum,leverage__rsi_reversion,leverage__sma_cross,low,low__rsi_reversion,max_positions,max_positions__breakout,max_positions__roc_momentum,max_positions__rsi_reversion,max_positions__sma_cross,period,period__roc_momentum,slow,slow__sma_cross,stop_loss_pct,stop_loss_pct__breakout,stop_loss_pct__roc_momentum,stop_loss_pct__rsi_reversion,stop_loss_pct__sma_cross,take_profit_pct,take_profit_pct__breakout,take_profit_pct__roc_momentum,take_profit_pct__rsi_reversion,take_profit_pct__sma_cross,threshold,threshold__roc_momentum,window,window__breakout
,roc_momentum,,-105.7175,-0.9454,104.4474,47,,,,,20.0,,,,,,,3,,,,,5,,,,0.03,,,,,0.2,,,,,1.0,,,
,rsi_reversion,breakout+rsi_reversion:AND,-106.4985,0.0000,104.3454,17,,,80,,10.0,10.0,,,,30,,3,3,,,,14,,,,0.03,0.03,,,,0.2,0.25,,,,,,,20
,sma_cross,,-107.7434,4.8767,106.3974,23,5,,,,20.0,,,,,,,5,,,,,,,80,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-108.0472,4.8892,104.5505,23,,,70,,20.0,,,,,20,,3,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-109.2856,5.7832,105.1937,17,,,80,,20.0,,,,,20,,3,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,breakout,,-109.3031,2.0100,109.7599,47,,,,,20.0,,,,,,,5,,,,,,,,,0.03,,,,,0.1,,,,,,,20,
,rsi_reversion,,-110.2403,-1.9250,105.1618,54,,,80,,20.0,,,,,20,,5,,,,,7,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-110.2403,-1.9250,105.1618,54,,,80,,20.0,,,,,20,,5,,,,,7,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-110.5054,4.2218,106.1167,25,,,80,,20.0,,,,,20,,5,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-110.7569,-4.2419,108.6550,30,,,70,,20.0,,,,,20,,5,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,roc_momentum,,-111.0389,3.0551,108.5867,28,,,,,20.0,,,,,,,3,,,,,5,,,,0.03,,,,,0.1,,,,,1.0,,,
,rsi_reversion,,-112.0438,0.0352,107.0122,28,,,70,,20.0,,,,,20,,5,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,sma_cross,,-112.4304,3.8501,107.2721,18,5,,,,20.0,,,,,,,3,,,,,,,30,,0.03,,,,,0.2,,,,,,,,
,sma_cross,,-116.0293,-1.0004,103.8436,30,20,,,,20.0,,,,,,,3,,,,,,,30,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-117.6840,-1.8430,116.1184,47,,,80,,20.0,,,,,30,,5,,,,,7,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-117.6840,-1.8430,116.1184,47,,,80,,20.0,,,,,30,,5,,,,,7,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-123.6972,0.0598,108.2771,15,,,70,,20.0,,,,,20,,3,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-124.3004,4.4028,109.3845,14,,,80,,20.0,,,,,20,,3,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-124.5589,-2.1061,123.6410,27,,,80,,10.0,,,,,30,,3,,,,,7,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-124.5589,-2.1061,123.6410,27,,,80,,10.0,,,,,30,,3,,,,,7,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-128.2954,0.0000,122.8668,26,,,80,,20.0,,,,,30,,3,,,,,7,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-128.2954,0.0000,122.8668,26,,,80,,20.0,,,,,30,,3,,,,,7,,,,0.03,,,,,0.2,,,,,,,,
,roc_momentum,,-130.3062,-0.5220,119.1841,62,,,,,10.0,,,,,,,5,,,,,10,,,,0.03,,,,,0.2,,,,,1.0,,,
,rsi_reversion,,-149.6583,3.0854,118.5881,31,,,70,,20.0,,,,,20,,3,,,,,7,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-149.6583,3.0854,118.5881,31,,,70,,20.0,,,,,20,,3,,,,,7,,,,0.03,,,,,0.2,,,,,,,,
,sma_cross,,-156.7170,-1.7627,144.5206,31,20,,,,20.0,,,,,,,5,,,,,,,50,,0.03,,,,,0.1,,,,,,,,
,roc_momentum,,-159.3851,3.6893,132.0382,39,,,,,10.0,,,,,,,3,,,,,10,,,,0.03,,,,,0.2,,,,,1.0,,,
,sma_cross,,-159.8869,1.6107,162.6472,27,5,,,,10.0,,,,,,,3,,,,,,,50,,0.03,,,,,0.1,,,,,,,,
,roc_momentum,,-160.9520,-2.7313,128.4519,47,,,,,20.0,,,,,,,5,,,,,10,,,,0.03,,,,,0.2,,,,,1.0,,,
,sma_cross,,-166.5818,-2.3320,177.5522,27,5,,,,20.0,,,,,,,3,,,,,,,50,,0.03,,,,,0.1,,,,,,,,
,roc_momentum,,-436.5522,0.2254,194.7785,39,,,,,20.0,,,,,,,3,,,,,10,,,,0.03,,,,,0.2,,,,,1.0,,,
